method,vulnerability,noise_type,noise_rate,noise_bucket,F1 score,Precision,Recall,Accuracy,TP,TN,FP,FN,noise_sort
Ablation_woWarmup,dos_failed_call,fn_noise,0.1,0.1,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,0.1
Ablation_woWarmup,dos_failed_call,fn_noise,0.2,0.2,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,0.2
Ablation_woWarmup,dos_failed_call,fn_noise,0.3,0.3,0.0,0.0,0.0,0.85,0,34,0,6,0.3
Ablation_woWarmup,dos_failed_call,pure,0.0,0.0,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,0.0
Ablation_woWarmup,integer_overflow,fn_noise,0.1,0.1,0.4881889763779528,0.36046511627906974,0.7560975609756098,0.7379032258064516,31,152,55,10,0.1
Ablation_woWarmup,integer_overflow,fn_noise,0.2,0.2,0.49206349206349204,0.36470588235294116,0.7560975609756098,0.7419354838709677,31,153,54,10,0.2
Ablation_woWarmup,integer_overflow,fn_noise,0.3,0.3,0.5040650406504065,0.3780487804878049,0.7560975609756098,0.7540322580645161,31,156,51,10,0.3
Ablation_woWarmup,integer_overflow,pure,0.0,0.0,0.484375,0.3563218390804598,0.7560975609756098,0.7338709677419355,31,151,56,10,0.0
Ablation_woWarmup,reentrancy,fn_noise,0.1,0.1,0.43243243243243246,0.3076923076923077,0.7272727272727273,0.6881188118811881,24,115,54,9,0.1
Ablation_woWarmup,reentrancy,fn_noise,0.2,0.2,0.4339622641509434,0.3150684931506849,0.696969696969697,0.7029702970297029,23,119,50,10,0.2
Ablation_woWarmup,reentrancy,fn_noise,0.3,0.3,0.41739130434782606,0.2926829268292683,0.7272727272727273,0.6683168316831684,24,111,58,9,0.3
Ablation_woWarmup,reentrancy,pure,0.0,0.0,0.41739130434782606,0.2926829268292683,0.7272727272727273,0.6683168316831684,24,111,58,9,0.0
Ablation_woWarmup,time_dependency,fn_noise,0.1,0.1,0.5405405405405406,0.37037037037037035,1.0,0.734375,10,37,17,0,0.1
Ablation_woWarmup,time_dependency,fn_noise,0.2,0.2,0.5405405405405406,0.37037037037037035,1.0,0.734375,10,37,17,0,0.2
Ablation_woWarmup,time_dependency,fn_noise,0.3,0.3,0.5405405405405406,0.37037037037037035,1.0,0.734375,10,37,17,0,0.3
Ablation_woWarmup,time_dependency,pure,0.0,0.0,0.5555555555555556,0.38461538461538464,1.0,0.75,10,38,16,0,0.0
CL,dos_failed_call,diff_noise,diff,diff,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,inf
CL,dos_failed_call,fn_noise,0.1,0.1,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,0.1
CL,dos_failed_call,fn_noise,0.2,0.2,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,0.2
CL,dos_failed_call,fn_noise,0.3,0.3,0.3478260869565218,0.23529411764705882,0.6666666666666666,0.625,4,21,13,2,0.3
CL,dos_failed_call,pure,0.0,0.0,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.6,4,20,14,2,0.0
CL,integer_overflow,diff_noise,diff,diff,0.484375,0.3563218390804598,0.7560975609756098,0.7338709677419355,31,151,56,10,inf
CL,integer_overflow,fn_noise,0.1,0.1,0.4881889763779528,0.36046511627906974,0.7560975609756098,0.7379032258064516,31,152,55,10,0.1
CL,integer_overflow,fn_noise,0.2,0.2,0.484375,0.3563218390804598,0.7560975609756098,0.7338709677419355,31,151,56,10,0.2
CL,integer_overflow,fn_noise,0.3,0.3,0.49600000000000005,0.36904761904761907,0.7560975609756098,0.7459677419354839,31,154,53,10,0.3
CL,integer_overflow,pure,0.0,0.0,0.4769230769230769,0.34831460674157305,0.7560975609756098,0.7258064516129032,31,149,58,10,0.0
CL,reentrancy,diff_noise,diff,diff,0.42477876106194684,0.3,0.7272727272727273,0.6782178217821783,24,113,56,9,inf
